country_iso3,country_name,date,country_no2_index,n_cities_total,n_cities_with_value,average_data_coverage
PHL,Philippines,2022-05-15,1.486704939142182e-5,21,21,0.07703703703703704
PHL,Philippines,2022-05-16,1.5041706819432697e-5,21,21,0.30158730158730157
PHL,Philippines,2022-05-17,1.5197734144041923e-5,21,21,0.2584126984126984
PHL,Philippines,2022-05-18,1.5329841578177567e-5,21,21,0.25566137566137564
PHL,Philippines,2022-05-19,1.5511369609734526e-5,21,21,0.266031746031746
PHL,Philippines,2022-05-20,1.599480360928159e-5,21,21,0.41544973544973546
PHL,Philippines,2022-05-21,1.618566720086993e-5,21,21,0.1180952380952381
PHL,Philippines,2022-05-22,1.6466200126310656e-5,21,21,0.1475132275132275
PHL,Philippines,2022-05-23,1.6467263984351448e-5,21,21,0.3540740740740741
PHL,Philippines,2022-05-24,1.6457268729310606e-5,21,21,0.41608465608465606
PHL,Philippines,2022-05-25,1.6642043577299783e-5,21,21,0.30624338624338626
PHL,Philippines,2022-05-26,1.6632785082808116e-5,21,21,0.3106878306878307
PHL,Philippines,2022-05-27,1.6884138889535357e-5,21,21,0.4336507936507937
PHL,Philippines,2022-05-28,1.6790836229180204e-5,21,21,0.11788359788359788
PHL,Philippines,2022-05-29,1.663312855187735e-5,21,21,0.5242328042328043
PHL,Philippines,2022-05-30,1.657882095732591e-5,21,21,0.21608465608465607
PHL,Philippines,2022-05-31,1.6360726106631743e-5,21,21,0.39132275132275135
PHL,Philippines,2022-06-01,1.6214903956926383e-5,21,21,0.33756613756613757
PHL,Philippines,2022-06-02,1.6367044284774576e-5,21,21,0.4338624338624339
PHL,Philippines,2022-06-03,1.640804509211641e-5,21,21,0.6019047619047619
PHL,Philippines,2022-06-04,1.661983808548745e-5,21,21,0.5655026455026455
PHL,Philippines,2022-06-05,1.6838923242769047e-5,21,21,0.24402116402116403
PHL,Philippines,2022-06-06,1.724485076193267e-5,21,21,0.5413756613756614
PHL,Philippines,2022-06-07,1.75599966606703e-5,21,21,0.4924867724867725
PHL,Philippines,2022-06-08,1.7919060876009358e-5,21,21,0.2698412698412698
PHL,Philippines,2022-06-09,1.7754792334583865e-5,21,21,0.5073015873015873
PHL,Philippines,2022-06-10,1.7689395097163332e-5,21,21,0.6019047619047619
PHL,Philippines,2022-06-11,1.740513872840466e-5,21,21,0.3748148148148148
PHL,Philippines,2022-06-12,1.7175632340339152e-5,21,21,0.44486772486772486
PHL,Philippines,2022-06-13,1.7069874516700655e-5,21,21,0.4901587301587302
PHL,Philippines,2022-06-14,1.71639075878088e-5,21,21,0.39936507936507937
PHL,Philippines,2022-06-15,1.7014508817450745e-5,21,21,0.4768253968253968
PHL,Philippines,2022-06-16,1.7099344959846122e-5,21,21,0.3851851851851852
PHL,Philippines,2022-06-17,1.6909306150924592e-5,21,21,0.5746031746031746
PHL,Philippines,2022-06-18,1.6647388178820642e-5,21,21,0.3729100529100529
PHL,Philippines,2022-06-19,1.6523729644238516e-5,21,21,0.4052910052910053
PHL,Philippines,2022-06-20,1.655755920950245e-5,21,21,0.377989417989418
PHL,Philippines,2022-06-21,1.6491902625595634e-5,21,21,0.1346031746031746
PHL,Philippines,2022-06-22,1.6427034673201177e-5,21,21,0.2704761904761905
PHL,Philippines,2022-06-23,1.6589705951305232e-5,21,21,0.3964021164021164
PHL,Philippines,2022-06-24,1.629244404694559e-5,21,21,0.43174603174603177
PHL,Philippines,2022-06-25,1.620217323235324e-5,21,21,0.19555555555555554
PHL,Philippines,2022-06-26,1.6435794720316666e-5,21,21,0.1544973544973545
PHL,Philippines,2022-06-27,1.642091765783427e-5,21,21,0.23407407407407407
PHL,Philippines,2022-06-28,1.6689115641671104e-5,21,21,0.09502645502645504
